"","h_regionid","w_regionid","num_commuting"
"1",7930,7930,138.294403488144
"2",7930,28173,7.00029965423882
"3",7930,33420,8.56016832772206
"4",7930,33597,17.5528411264987
"5",7930,51847,0.990710248172578
"6",7930,137603,59.1482731936244
"7",7930,137634,1
"8",7930,137799,1.5268093308569
"9",7930,138129,3.98719103226528
"10",28173,7930,54.7921255014925
"11",28173,28173,211.329344128229
"12",28173,33420,30.4245572463293
"13",28173,33597,84.2875498968605
"14",28173,51847,19.1204784130919
"15",28173,137603,109.438411413558
"16",28173,137634,6.02070740904279
"17",28173,137799,1.33612995455212
"18",28173,137841,2.82429341075264
"19",28173,138129,27.8114577025031
"20",33420,7930,21.3240504136189
"21",33420,28173,5.38986235368917
"22",33420,33420,198.459585175342
"23",33420,33597,8.93192123192948
"24",33420,51847,0.0123737985861186
"25",33420,137603,31.9630521723365
"26",33420,137634,2.28630866980336
"27",33420,137799,6.06002084620704
"28",33420,137841,2.1574175997092
"29",33420,138129,6.2503926606376
"30",33597,7930,46.1316156919203
"31",33597,28173,15.107223810628
"32",33597,33420,18.5398331077812
"33",33597,33597,466.24488618143
"34",33597,51847,10.9528490397641
"35",33597,137603,121.019469010809
"36",33597,137634,2.4037647761574
"37",33597,137799,0.979761763581807
"38",33597,137841,0.373784504194019
"39",33597,138129,28.8829168966429
"40",51847,7930,1.00198759073429
"41",51847,28173,2.47758063402321
"42",51847,33420,2.54224838093846
"43",51847,33597,11.3742822390977
"44",51847,51847,41.0802217153088
"45",51847,137603,4.72126535873821
"46",51847,137634,0.97723999356205
"47",51847,137799,0.757588248737225
"48",51847,137841,0.0118043156679941
"49",51847,138129,6.75974953082516
"50",137603,7930,68.8973567234287
"51",137603,28173,7.34654264376059
"52",137603,33420,20.9023311553188
"53",137603,33597,48.0997325041047
"54",137603,51847,4.92884083969722
"55",137603,137603,285.961128958349
"56",137603,137799,2.30319081966662
"57",137603,137841,0.649307062432627
"58",137603,138129,16.1126872926771
"59",137634,7930,3
"60",137634,28173,0.497364492669679
"61",137634,33420,9.50192110722305
"62",137634,33597,5.4072609221572
"63",137634,137603,3.15827229548173
"64",137634,137634,34.9607220194365
"65",137634,137799,1.14117451702222
"66",137634,137841,0.953976710210608
"67",137634,138129,1.96190555572099
"68",137799,7930,4.56994137624949
"69",137799,28173,1.05247833205525
"70",137799,33420,8.43408569556599
"71",137799,33597,2.8011296226084
"72",137799,137603,1.69375266295246
"73",137799,137799,63.2328938463881
"74",137799,137841,1.7289362378649
"75",137799,138129,1.11943831249656
"76",137841,7930,12.0343675684245
"77",137841,28173,4.54107150196336
"78",137841,33420,20.6222268920824
"79",137841,33597,5.40871342668327
"80",137841,51847,0.940460202159194
"81",137841,137603,14.7840733410994
"82",137841,137634,0.973404277863928
"83",137841,137799,2.16422659131404
"84",137841,137841,98.5318861209862
"85",137841,138129,9.75708946162548
"86",138129,7930,5.15621623901846
"87",138129,28173,5.79685368683224
"88",138129,33420,3.9818226797728
"89",138129,33597,15.3654790824277
"90",138129,51847,2.01568845798931
"91",138129,137603,17.2212144226965
"92",138129,137634,2
"93",138129,138129,78.6936881191963
