"","w_regionid","wages","num_employment"
"1","137228",49028.6442059163,23.6908122093517
"2","137603",38353.1334998983,6114.48793086918
"3","137634",33901.5816947908,1097.68695879321
"4","137799",24439.0508777508,913.478863743747
"5","137841",38881.7665402224,613.160555580737
"6","138129",40335.6186987648,1760.60969666214
"7","138166",30929.3419036466,629.402195920355
"8","138261",36455.5545044032,1921.14611661002
"9","138732",31501.1888581073,246.983908664726
"10","139408",35127.0687870215,2651.91901581613
"11","140000",46615.1661428907,348.677113847337
"12","140024",35030.9411825781,217.304519223254
"13","140292",39988.2213863174,1093.80415711514
"14","140437",29805.8188811748,1482.57643674547
"15","140440",38228.4859112183,180.471255660071
"16","140913",37484.3676898456,358.154341864502
"17","269566",32837.2790768804,2653.02327120362
"18","269567",34865.4113196039,808.186640812266
"19","269568",41217.4593259565,9824.04899439357
"20","269570",38564.3911180269,587.65891901268
"21","269571",28676.3620202492,1417.60392356745
"22","269572",28918.1634000341,71.5309949506807
"23","269573",39383.5146834087,3199.84398771228
"24","269576",31817.6253787274,538.444855369311
"25","269577",42298.340610594,2785.18551228809
"26","269578",33588.3148998571,757.218186179547
"27","269579",33968.6759673613,935.593530012348
"28","269580",37443.0788039932,82.2188089142125
"29","269581",39815.9716094628,410.659346639776
"30","269582",31116.260735684,2284.47384202174
"31","269584",30018.6121113883,2568.12082423005
"32","269585",35340.9415042202,4008.15986583729
"33","269586",53547.0712625371,13781.5152318999
"34","269587",34033.9600817711,1926.48097123639
"35","269588",35394.3587258944,3528.59415941088
"36","269589",38641.5891849432,10379.1460752087
"37","269590",40219.983465344,2170.67501024434
"38","269591",38082.4491195833,813.544015625801
"39","269592",35205.6165723342,6575.35709384981
"40","269593",53630.7002730626,195841.730134302
"41","269595",30814.8389205289,878.358291562987
"42","269596",32609.7664006231,803.859564893813
"43","269597",45258.8497838255,26936.721418436
"44","269599",46429.921720636,11853.886886158
"45","269600",42729.4814209602,4324.03925752947
"46","269602",32520.1675660594,1563.7082370921
"47","269603",48778.4979555664,4352.13114427556
"48","269605",41842.2327658151,4631.23306325185
"49","269607",46641.0421609541,29229.7444734605
"50","269608",29220.2588969524,1109.28403403248
"51","269609",32829.5466763285,2797.97946089138
"52","269610",34695.3905687693,98.4804107275763
"53","269611",29960.8805150364,823.696081460434
"54","269612",33116.1454896665,1094.93555759383
"55","269613",38630.3813958019,1766.32902252734
"56","269614",28341.0045296032,2402.03620222104
"57","269615",42763.0748518532,21398.5732845632
"58","272951",31296.8750584805,1393.64469189255
"59","273035",34201.0003595575,5196.80668179529
"60","273040",34020.2365369073,3692.63517818098
"61","273111",38699.7271590724,637.639377117453
"62","273222",28824.9292721756,668.18234885543
"63","273964",39975.4399074581,1867.70571672565
"64","274178",39395.3308029405,212.793627231656
"65","274579",35675.6282391818,1468.86214786197
"66","274850",37854.7609224935,50.0066408117178
"67","275083",32236.8022721961,2315.59785818668
"68","275192",45367.1189243092,4.00276664816446
"69","275251",38178.1493804916,1168.02314437044
"70","275927",40948.0156323507,417.22181719376
"71","276138",41582.4195750197,1247.90016608061
"72","276349",32290.1425138303,771.373531346238
"73","276477",40750.0927094661,1889.40686805105
"74","28173",30535.8797133246,1630.70385426289
"75","33420",35729.1600410128,2970.01402932851
"76","33597",38511.1636723198,5119.81106654239
"77","403109",32647.3956221313,1326.23477292986
"78","403117",38499.1975376411,5731.75120179946
"79","403120",38375.9375053233,2311.32379906645
"80","403128",16783.1842577521,1183.18311892624
"81","403141",48630.5759742791,6214.86034274774
"82","403144",31225.3255007418,224.501592649637
"83","403145",37705.4361409249,4200.42582201922
"84","403146",40570.5819206445,4893.50609979428
"85","403148",35850.6450608408,1072.85120455368
"86","403151",33675.0901090359,410.854884320993
"87","403159",43279.7403904134,22993.7879009663
"88","403168",33887.1014766439,314.971787688752
"89","403169",33210.4160213096,4734.80636218369
"90","403255",35310.1896242497,288.419648160124
"91","403256",28271.0683908714,242.197348909595
"92","403257",35923.3164299663,1610.87725220079
"93","403258",35306.690432002,232.529113201722
"94","403259",32458.9103018228,246.020314727763
"95","403260",32843.1241723894,233.60218357785
"96","403261",40522.2874053782,253.823443749863
"97","403262",37898.179622242,571.819451691372
"98","403263",39554.3964979141,582.934552262886
"99","403264",42615.1436364559,1299.26365406536
"100","403265",39215.4953780713,465.249170312798
"101","403266",37728.3187953999,330.096254175508
"102","403267",38070.0065993168,1204.13044528835
"103","403268",32638.8470256356,480.515518991193
"104","403269",30178.2426535193,388.113811290221
"105","403270",38453.7420786911,27.6852977844153
"106","403271",37660.2546045281,979.857996729513
"107","403272",38453.7420786911,34.2765422510092
"108","403273",38453.7420786911,19.4433186717411
"109","403274",29907.1726698258,8.37241636668733
"110","403275",29907.1726698258,194.935951426418
"111","403276",44367.0028858828,1962.32367983454
"112","403277",36128.0297441599,366.902794035871
"113","403278",30665.0061248214,227.340416490158
"114","403279",31418.9098030452,146.146083065254
"115","403280",36988.2004881392,32.6833316149532
"116","403281",30291.8439735458,78.0942242275392
"117","403282",39512.0688133935,58.1446399935617
"118","403283",27788.62257789,349.31262066778
"119","403284",32231.2702625281,304.663431609726
"120","403285",34923.2562313878,237.711407530399
"121","403286",33788.390909308,771.729080484155
"122","403287",36084.6403502142,970.143863258103
"123","403288",33247.0677438592,2073.31672409261
"124","403289",24219.6504210818,143.306381728502
"125","403290",35362.794365295,178.167596779048
"126","403292",37858.966302999,1206.96908465705
"127","403293",45315.6825133071,1218.5670328076
"128","403294",32028.6884195112,1318.94310562548
"129","403295",34826.879564033,3170.26959621435
"130","403296",35901.2143891988,795.661982987293
"131","403297",43651.5113140613,1187.29428040127
"132","403298",46154.4810768987,10933.5757511331
"133","403299",49475.3632259208,26811.0460495285
"134","403300",50987.0284930583,23636.6322706971
"135","403301",38522.9425867261,2222.70124515016
"136","403302",49436.2357071145,882.295971634859
"137","403303",45002.5467925056,2245.16693555525
"138","403304",36488.0915773067,573.867367801219
"139","403305",45499.0997401529,2080.83132698787
"140","403306",34233.95363149,2956.14147810981
"141","403307",33597.7921747387,2027.5297047692
"142","403308",36570.1054911215,2049.31680703861
"143","403309",38326.2827430932,318.769433726326
"144","403310",42097.7538549144,1272.82203463568
"145","403311",38334.6816111915,879.141330538668
"146","403312",41099.8621091829,1095.08151161538
"147","403313",52043.7433558772,5859.15041299599
"148","403314",34459.9782268322,1017.08382596276
"149","403315",27795.5724450345,312.065638089123
"150","403316",34794.725530407,141.334115257846
"151","403317",40254.9046262877,1459.50143933425
"152","403318",37000.3778530171,1441.95248590881
"153","403319",40243.6083239688,206.090185667023
"154","403320",50196.6128991458,2667.92538819147
"155","403321",50635.9063688059,1706.59843695871
"156","403322",51712.5015429008,19468.7340009995
"157","403323",30814.7889713034,905.763582766412
"158","403324",34397.5036941877,185.398993359266
"159","403325",39095.5977485679,1066.16030568803
"160","403326",40545.1630992006,376.770655151172
"161","403327",38894.1993683661,430.39657814877
"162","403328",51535.3161584435,4821.98627594269
"163","403329",38874.7070801306,211.482432195605
"164","403330",35891.766519923,3344.55515463116
"165","403331",38336.7855298735,398.663907518991
"166","403332",45609.256560906,2514.67287704786
"167","403333",33424.9398714507,479.611454355621
"168","403334",34239.2194595518,76.9299837896077
"169","403335",42442.6106850843,232.369015636216
"170","403336",28425.7031351189,68.3807415060867
"171","403337",28425.7031351189,33.5204510132572
"172","403338",35216.0595334617,1627.82507828013
"173","403339",41180.845105273,49.4742011594555
"174","403340",43137.0386049461,974.773501603704
"175","403341",19005.2164593206,395.663556116988
"176","403342",47747.1634317581,10166.1392944616
"177","403343",54798.8806975875,4875.77477084533
"178","403344",35579.0665332888,347.232892304948
"179","403345",35808.8204507273,673.015170303299
"180","403346",40134.8205258892,559.683941701465
"181","403347",19561.3817361965,296.449029164913
"182","403348",31640.4108959736,92.6042122268505
"183","403349",23435.5225347573,175.569324025204
"184","403350",37826.7863716108,220.301840697795
"185","403351",32009.8502194227,265.891027180007
"186","403352",34366.7057044211,411.164774369709
"187","403353",32890.4754682349,214.139097517003
"188","403354",34447.9622464179,69.2747880565486
"189","403355",42980.0910062444,23.4718110484859
"190","403356",32868.4733484354,507.993538647924
"191","403357",29290.1838251408,1062.83989054439
"192","403358",29065.4476080298,114.892627436655
"193","403359",49945.0302496528,82.3385887003965
"194","403360",27202.2583646505,185.215491351662
"195","403361",20255.468140205,109.448491118749
"196","403362",22883.6593001579,8.77391729070314
"197","403363",45900.995590862,121.117998336324
"198","403364",30018.4150669304,35.915598792747
"199","403365",34486.7119666962,36.192971453567
"200","403366",34486.7119666962,33.0241778382154
"201","403367",31867.8411654068,549.399192265699
"202","403368",32266.1384560961,29.1938210306437
"203","403369",46941.7844636784,15.373270082784
"204","403370",31862.5529075158,154.566103296002
"205","403371",33054.1610885189,189.414262243405
"206","403372",34379.5712378174,78.7228459251352
"207","403373",27533.0213503765,192.522839506908
"208","403374",29323.7671845253,288.222565341841
"209","403375",32533.4488742124,295.92151956736
"210","403376",37551.3028747671,364.626702433874
"211","403377",27649.7245160772,147.996752739377
"212","403378",27709.5380847956,325.342190841351
"213","403379",27853.2561289107,225.550457881479
"214","403380",51398.9453056017,14.7901885724122
"215","403381",48916.8004682953,10.8869337707483
"216","403382",41478.9170832947,32.8833035933019
"217","403383",41478.9170832947,135.865769543892
"218","403385",33396.3149748546,22.9464731798224
"219","403386",44203.6713097297,1810.26101482503
"220","403387",33396.3149748546,201.5079979963
"221","403388",45323.2885538882,627.230747738822
"222","403389",33396.3149748546,44.9157714144222
"223","403390",43337.4207539644,81.6802782039466
"224","403560",37311.1235157019,1750.18343995317
"225","51847",35657.3877702154,652.171232259067
"226","7930",32365.2000953486,2837.50392145713
